time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
331,0,1,1,1,-4249, ,,,,
332,0,1,1,1,-4313, ,,,,
333,0,1,1,1,-4375, ,,,,
334,0,1,1,1,-4431, ,,,,
335,0,1,1,1,-4481, ,,,,
336,0,1,1,1,-4523, ,,,,
337,0,1,1,1,-4563, ,,,,
338,0,1,1,1,-4600, ,,,,
339,0,1,1,1,-4635, ,,,,
340,0,1,1,1,-4669, ,,,,
341,0,1,1,1,-4696, ,,,,
342,0,1,1,1,-4725, ,,,,
343,0,1,1,1,-4745, ,,,,
344,0,1,1,1,-4763, ,,,,
345,0,1,1,1,-4783, ,,,,
346,0,1,1,1,-4801, ,,,,
347,0,1,1,1,-4813, ,,,,
348,0,1,1,1,-4823, ,,,,
349,0,1,1,1,-4838, ,,,,
350,0,1,1,1,-4847, ,,,,
351,0,1,1,1,-4855, ,,,,
352,0,1,1,1,-4860, ,,,,
353,0,1,1,1,-4866, ,,,,
354,0,1,1,1,-4868, ,,,,
355,0,1,1,1,-4877, ,,,,
356,0,1,1,1,-4882, ,,,,
357,0,1,1,1,-4888, ,,,,
358,0,1,1,1,-4892, ,,,,
359,0,1,1,1,-4895, ,,,,
360,0,1,1,1,-4897, ,,,,
361,0,1,1,1,-4900, ,,,,
362,0,1,1,1,-4897, ,,,,
363,0,1,1,1,-4900, ,,,,
364,0,1,1,1,-4903, ,,,,
365,0,1,1,1,-4906, ,,,,
366,0,1,1,1,-4908, ,,,,
367,0,1,1,1,-4911, ,,,,
368,0,1,1,1,-4909, ,,,,
369,0,1,1,1,-4913, ,,,,
370,0,1,1,1,-4913, ,,,,
371,0,1,1,1,-4912, ,,,,
372,0,1,1,1,-4912, ,,,,
373,0,1,1,1,-4912, ,,,,
374,0,1,1,1,-4914, ,,,,
375,0,1,1,1,-4916, ,,,,
376,0,1,1,1,-4917, ,,,,
377,0,1,1,1,-4914, ,,,,
378,0,1,1,1,-4913, ,,,,
379,0,1,1,1,-4912, ,,,,
380,0,1,1,1,-4912, ,,,,
381,0,1,1,1,-4916, ,,,,
382,0,1,1,1,-4919, ,,,,
383,0,1,1,1,-4919, ,,,,
384,0,1,1,1,-4920, ,,,,
385,0,1,1,1,-4921, ,,,,
386,0,1,1,1,-4924, ,,,,
387,0,1,1,1,-4922, ,,,,
388,0,1,1,1,-4924, ,,,,
389,0,1,1,1,-4925, ,,,,
390,0,1,1,1,-4925, ,,,,
391,0,1,1,1,-4928, ,,,,
392,0,1,1,1,-4931, ,,,,
393,0,1,1,1,-4928, ,,,,
394,0,1,1,1,-4930, ,,,,
395,0,1,1,1,-4930, ,,,,
