time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4688.309419,1.334237443,,,,,,,,,,,,, 
200,0,1,1,1,-4689,,,,,,,,,,,,,,, 
201,0,1,1,1,-4690,,,,,,,,,,,,,,, 
202,0,1,1,1,-4686,,,,,,,,,,,,,,, 
203,0,1,1,1,-4687,,,,,,,,,,,,,,, 
204,0,1,1,1,-4688,,,,,,,,,,,,,,, 
205,0,1,1,1,-4687,,,,,,,,,,,,,,, 
206,0,1,1,1,-4689,,,,,,,,,,,,,,, 
207,0,1,1,1,-4686,,,,,,,,,,,,,,, 
208,0,1,1,1,-4689,,,,,,,,,,,,,,, 
209,0,1,1,1,-4688,,,,,,,,,,,,,,, 
210,0,1,1,1,-4687,,,,,,,,,,,,,,, 
211,0,1,1,1,-4687,,,,,,,,,,,,,,, 
212,0,1,1,1,-4688,,,,,,,,,,,,,,, 
213,0,1,1,1,-4690,,,,,,,,,,,,,,, 
214,0,1,1,1,-4689,,,,,,,,,,,,,,, 
215,0,1,1,1,-4687,,,,,,,,,,,,,,, 
216,0,1,1,1,-4687,,,,,,,,,,,,,,, 
217,0,1,1,1,-4689,,,,,,,,,,,,,,, 
218,0,1,1,1,-4688,,,,,,,,,,,,,,, 
219,0,1,1,1,-4689,,,,,,,,,,,,,,, 
220,0,1,1,1,-4690,,,,,,,,,,,,,,, 
221,0,1,1,1,-4685,,,,,,,,,,,,,,, 
222,0,1,1,1,-4689,,,,,,,,,,,,,,, 
223,0,1,1,1,-4687,,,,,,,,,,,,,,, 
224,0,1,1,1,-4690,,,,,,,,,,,,,,, 
225,0,1,1,1,-4691,,,,,,,,,,,,,,, 
226,0,1,1,1,-4688,,,,,,,,,,,,,,, 
227,0,1,1,1,-4689,,,,,,,,,,,,,,, 
228,0,1,1,1,-4690,,,,,,,,,,,,,,, 
229,0,1,1,1,-4688,,,,,,,,,,,,,,, 
230,0,1,1,1,-4688,,,,,,,,,,,,,,, 
231,0,1,1,1,-4689,,,,,,,,,,,,,,, 
232,0,1,1,1,-4687,,,,,,,,,,,,,,, 
233,0,1,1,1,-4688,,,,,,,,,,,,,,, 
234,0,1,1,1,-4690,,,,,,,,,,,,,,, 
235,0,1,1,1,-4688,,,,,,,,,,,,,,, 
236,0,1,1,1,-4689,,,,,,,,,,,,,,, 
237,0,1,1,1,-4685,,,,,,,,,,,,,,, 
238,0,1,1,1,-4691,,,,,,,,,,,,,,, 
239,0,1,1,1,-4690,,,,,,,,,,,,,,, 
240,0,1,1,1,-4686,,,,,,,,,,,,,,, 
241,0,1,1,1,-4686,,,,,,,,,,,,,,, 
242,0,1,1,1,-4689,,,,,,,,,,,,,,, 
243,0,1,1,1,-4687,,,,,,,,,,,,,,, 
244,0,1,1,1,-4689,,,,,,,,,,,,,,, 
245,0,1,1,1,-4688,,,,,,,,,,,,,,, 
246,0,1,1,1,-4691,,,,,,,,,,,,,,, 
247,0,1,1,1,-4689,,,,,,,,,,,,,,, 
248,0,1,1,1,-4690,,,,,,,,,,,,,,, 
249,0,1,1,1,-4691,,,,,,,,,,,,,,, 
250,0,1,1,1,-4688,,,,,,,,,,,,,,, 
251,0,1,1,1,-4689,,,,,,,,,,,,,,, 
252,0,1,1,1,-4690,,,,,,,,,,,,,,, 
253,0,1,1,1,-4687,,,,,,,,,,,,,,, 
254,0,1,1,1,-4691,,,,,,,,,,,,,,, 
255,0,1,1,1,-4688,,,,,,,,,,,,,,, 
256,0,1,1,1,-4690,,,,,,,,,,,,,,, 
257,0,1,1,1,-4688,,,,,,,,,,,,,,, 
258,0,1,1,1,-4687,,,,,,,,,,,,,,, 
259,0,1,1,1,-4688,,,,,,,,,,,,,,, 
260,0,1,1,1,-4688,,,,,,,,,,,,,,, 
261,0,1,1,1,-4688,,,,,,,,,,,,,,, 
262,0,1,1,1,-4690,,,,,,,,,,,,,,, 
263,0,1,1,1,-4688,,,,,,,,,,,,,,, 
264,0,1,1,1,-4688,,,,,,,,,,,,,,, 
265,0,1,1,1,-4689,,,,,,,,,,,,,,, 
266,0,1,1,1,-4690,,,,,,,,,,,,,,, 
267,0,1,1,1,-4688,,,,,,,,,,,,,,, 
268,0,1,1,1,-4688,,,,,,,,,,,,,,, 
269,0,1,1,1,-4690,,,,,,,,,,,,,,, 
270,0,1,1,1,-4689,,,,,,,,,,,,,,, 
271,0,1,1,1,-4686,,,,,,,,,,,,,,, 
272,0,1,1,1,-4689,,,,,,,,,,,,,,, 
273,0,1,1,1,-4688,,,,,,,,,,,,,,, 
274,0,1,1,1,-4689,,,,,,,,,,,,,,, 
275,0,1,1,1,-4690,,,,,,,,,,,,,,, 
276,0,1,1,1,-4690,,,,,,,,,,,,,,, 
277,0,1,1,1,-4688,,,,,,,,,,,,,,, 
278,0,1,1,1,-4687,,,,,,,,,,,,,,, 
279,0,1,1,1,-4688,,,,,,,,,,,,,,, 
280,0,1,1,1,-4687,,,,,,,,,,,,,,, 
281,0,1,1,1,-4687,,,,,,,,,,,,,,, 
282,0,1,1,1,-4686,,,,,,,,,,,,,,, 
283,0,1,1,1,-4690,,,,,,,,,,,,,,, 
284,0,1,1,1,-4689,,,,,,,,,,,,,,, 
285,0,1,1,1,-4690,,,,,,,,,,,,,,, 
286,0,1,1,1,-4690,,,,,,,,,,,,,,, 
287,0,1,1,1,-4688,,,,,,,,,,,,,,, 
288,0,1,1,1,-4688,,,,,,,,,,,,,,, 
289,0,1,1,1,-4687,,,,,,,,,,,,,,, 
290,0,1,1,1,-4689,,,,,,,,,,,,,,, 
291,0,1,1,1,-4688,,,,,,,,,,,,,,, 
292,0,1,1,1,-4689,,,,,,,,,,,,,,, 
293,0,1,1,1,-4689,,,,,,,,,,,,,,, 
294,0,1,1,1,-4689,,,,,,,,,,,,,,, 
295,0,1,1,1,-4690,,,,,,,,,,,,,,, 
296,0,1,1,1,-4687,,,,,,,,,,,,,,, 
297,0,1,1,1,-4689,,,,,,,,,,,,,,, 
298,0,1,1,1,-4688,,,,,,,,,,,,,,, 
299,0,1,1,1,-4688,,,,,,,,,,,,,,, 
300,0,1,1,1,-4689,,,,,,,,,,,,,,, 
301,0,1,1,1,-4690,,,,,,,,,,,,,,, 
302,0,1,1,1,-4688,,,,,,,,,,,,,,, 
303,0,1,1,1,-4688,,,,,,,,,,,,,,, 
304,0,1,1,1,-4689,,,,,,,,,,,,,,, 
305,0,1,1,1,-4689,,,,,,,,,,,,,,, 
306,0,1,1,1,-4689,,,,,,,,,,,,,,, 
307,0,1,1,1,-4688,,,,,,,,,,,,,,, 
308,0,1,1,1,-4689,,,,,,,,,,,,,,, 
309,0,1,1,1,-4687,,,,,,,,,,,,,,, 
310,0,1,1,1,-4688,,,,,,,,,,,,,,, 
311,0,1,1,1,-4692,,,,,,,,,,,,,,, 
312,0,1,1,1,-4686,,,,,,,,,,,,,,, 
313,0,1,1,1,-4688,,,,,,,,,,,,,,, 
314,0,1,1,1,-4686,,,,,,,,,,,,,,, 
315,0,1,1,1,-4687,,,,,,,,,,,,,,, 
316,0,1,1,1,-4689,,,,,,,,,,,,,,, 
317,0,1,1,1,-4690,,,,,,,,,,,,,,, 
318,0,1,1,1,-4689,,,,,,,,,,,,,,, 
319,0,1,1,1,-4690,,,,,,,,,,,,,,, 
320,0,1,1,1,-4687,,,,,,,,,,,,,,, 
321,0,1,1,1,-4689,,,,,,,,,,,,,,, 
322,0,1,1,1,-4687,,,,,,,,,,,,,,, 
323,0,1,1,1,-4689,,,,,,,,,,,,,,, 
324,0,1,1,1,-4687,,,,,,,,,,,,,,, 
325,0,1,1,1,-4685,,,,,,,,,,,,,,, 
326,0,1,1,1,-4689,,,,,,,,,,,,,,, 
327,0,1,1,1,-4688,,,,,,,,,,,,,,, 
328,0,1,1,1,-4691,,,,,,,,,,,,,,, 
329,0,1,1,1,-4688,,,,,,,,,,,,,,, 
330,0,1,1,1,-4689,,,,,,,,,,,,,,, 
331,0,1,1,1,-4687,,,,,,,,,,,,,,, 
332,0,1,1,1,-4688,,,,,,,,,,,,,,, 
333,0,1,1,1,-4688,,,,,,,,,,,,,,, 
334,0,1,1,1,-4688,,,,,,,,,,,,,,, 
335,0,1,1,1,-4689,,,,,,,,,,,,,,, 
336,0,1,1,1,-4691,,,,,,,,,,,,,,, 
337,0,1,1,1,-4689,,,,,,,,,,,,,,, 
338,0,1,1,1,-4690,,,,,,,,,,,,,,, 
339,0,1,1,1,-4690,,,,,,,,,,,,,,, 
340,0,1,1,1,-4689,,,,,,,,,,,,,,, 
341,0,1,1,1,-4687,,,,,,,,,,,,,,, 
342,0,1,1,1,-4688,,,,,,,,,,,,,,, 
343,0,1,1,1,-4687,,,,,,,,,,,,,,, 
344,0,1,1,1,-4691,,,,,,,,,,,,,,, 
345,0,1,1,1,-4688,,,,,,,,,,,,,,, 
