Groups:
ADC_3[13..0] =, ADC_3[13], ADC_3[12], ADC_3[11], ADC_3[10], ADC_3[9], ADC_3[8], ADC_3[7], ADC_3[6], ADC_3[5], ADC_3[4], ADC_3[3], ADC_3[2], ADC_3[1], ADC_3[0],  signed decimal
reg_adc3_sync[13..0] =, reg_adc3_sync[13], reg_adc3_sync[12], reg_adc3_sync[11], reg_adc3_sync[10], reg_adc3_sync[9], reg_adc3_sync[8], reg_adc3_sync[7], reg_adc3_sync[6], reg_adc3_sync[5], reg_adc3_sync[4], reg_adc3_sync[3], reg_adc3_sync[2], reg_adc3_sync[1], reg_adc3_sync[0],  signed decimal

Data:
time unit: s, ADC_3[13..0], ADC_3[13], ADC_3[12], ADC_3[11], ADC_3[10], ADC_3[9], ADC_3[8], ADC_3[7], ADC_3[6], ADC_3[5], ADC_3[4], ADC_3[3], ADC_3[2], ADC_3[1], ADC_3[0], reg_adc3_sync[13..0], reg_adc3_sync[13], reg_adc3_sync[12], reg_adc3_sync[11], reg_adc3_sync[10], reg_adc3_sync[9], reg_adc3_sync[8], reg_adc3_sync[7], reg_adc3_sync[6], reg_adc3_sync[5], reg_adc3_sync[4], reg_adc3_sync[3], reg_adc3_sync[2], reg_adc3_sync[1], reg_adc3_sync[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
73, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
74, 95, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
75, 190, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
76, 197, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
77, 197, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
78, 195, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
79, 218, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
80, 103, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 102, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
81, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
82, 197, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
83, 198, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
84, 277, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
85, 377, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 101, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
86, 322, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
87, 88, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
88, 83, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
89, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
90, 198, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
91, 212, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
92, 150, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 99, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
93, 125, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 99, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
94, 106, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 99, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
95, 94, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
96, 201, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
97, 198, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
98, 230, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
99, 361, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
100, 386, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
101, 96, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
102, 93, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
103, 205, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
104, 204, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
105, 274, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
106, 377, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 97, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
